title,direct_link,snippet,type,publication_info,scholar_search_link
Bananas and plantains,https://books.google.com/books?hl=en&lr=&id=0GxOPqj2UVYC&oi=fnd&pg=PR5&dq=bananas&ots=fRAeFOVwqg&sig=qpIP9wDA5cWYFev62sXgbl9l-40,"… created by the European CMO in 1993 (see ‘Factors Influencing World Trade’ in this chapter), EU banana prices became the highest of all banana markets. Despite this high price, the …",Book,"JC Robinson, VG Saúco - 2010 - books.google.com","https://scholar.google.com/scholar?cluster=13003189807457248887&hl=en&num=2&as_sdt=0,5"
The evolution of the bananas.,https://www.cabdirect.org/cabdirect/abstract/19630303919,"Botanists and geneticists will welcome this book, which has been written primarily for them, and, in effect, supplements the author's more general account of the bananas as a crop …",,"NW Simmonds - The Evolution of the Bananas., 1962 - cabdirect.org","https://scholar.google.com/scholar?cluster=8915025781984487063&hl=en&num=2&as_sdt=0,5"
